2773	2758
2730	2764
2694	2808
2667	2771
2658	2639
2640	2718
2624	2703
2622	2623
2621	2754
2620	2616
2614	2687
2603	2702
2601	2644
2599	2581
2599	2650
2598	2631
2598	2690
2594	2652
2584	2628
2580	2630
2577	2651
2573	2570
2572	2658
2564	2603
2553	2683
2551	2525
2546	2662
2542	2616
2540	2552
2540	2677
2538	2517
2537	2663
2536	2593
2534	2597
2529	2514
2529	2564
2525	2618
2524	2617
2517	2542
2514	2504
2505	2645
2504	2613
2503	2571
2502	2613
2502	2600
2500	2710
2500	2586
2496	2540
2496	2680
2495	2685
2494	2526
2494	2628
2494	2546
2493	2559
2491	2542
2490	2683
2490	2576
2490	2614
2489	2537
2485	2482
2485	2476
2483	2623
2483	2617
2481	2569
2480	2433
2477	2529
2475	2455
2475	2488
2473	2488
2470	2731
2470	2523
2470	2529
2469	2580
2469	2658
2469	2647
2468	2491
2467	2425
2466	2545
2466	2527
2465	2482
2464	2554
2464	2706
2464	2507
2463	2547
2463	2597
2461	2597
2461	2646
2460	2490
2459	2580
2458	2531
2457	2421
2457	2603
2456	2445
2456	2641
2456	2456
2455	2508
2453	2727
2451	2491
2451	2405
2451	2509
